Country code;Country name;Year;Hydro;Nuclear;Gas;Gas CHP;Solar;Wind;Other Renewables;Biomass;CSP;Coal;Oil;Coal CCS;Gas CCS;CHP;IGCC;Geothermal;Waste
RO;Romania;2030;0.22;0.31;0.11;0.00;0.04;0.18;0.00;0.02;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
RO;Romania;2040;0.22;0.30;0.17;0.00;0.04;0.18;0.00;0.04;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
RO;Romania;2050;0.19;0.27;0.15;0.00;0.06;0.19;0.00;0.04;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2015;0.16;0.19;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.01;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2016;0.17;0.18;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.01;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2020;0.17;0.19;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.01;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2025;0.17;0.19;0.48;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.01;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2030;0.17;0.18;0.48;0.00;0.00;0.00;0.00;0.01;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
RU;Russia;2040;0.18;0.20;0.44;0.00;0.00;0.01;0.00;0.02;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.01;0.00
RU;Russia;2050;0.19;0.23;0.40;0.00;0.00;0.01;0.00;0.02;0.00;0.13;0.00;0.00;0.00;0.00;0.00;0.01;0.00
SE;Sweden;2015;0.45;0.36;0.00;0.00;0.00;0.08;0.00;0.09;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2016;0.45;0.35;0.01;0.00;0.00;0.08;0.00;0.10;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2020;0.44;0.31;0.04;0.00;0.00;0.09;0.00;0.11;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2025;0.42;0.30;0.07;0.00;0.00;0.12;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2030;0.40;0.28;0.06;0.00;0.00;0.13;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2040;0.37;0.35;0.05;0.00;0.00;0.12;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SE;Sweden;2050;0.36;0.31;0.06;0.00;0.00;0.14;0.00;0.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2015;0.29;0.36;0.00;0.00;0.02;0.00;0.00;0.01;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2016;0.29;0.35;0.00;0.00;0.02;0.00;0.00;0.01;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2020;0.28;0.34;0.01;0.00;0.02;0.02;0.00;0.02;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2025;0.28;0.34;0.02;0.00;0.04;0.02;0.00;0.03;0.00;0.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2030;0.27;0.31;0.09;0.00;0.05;0.02;0.00;0.03;0.00;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2040;0.25;0.27;0.21;0.00;0.04;0.02;0.00;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SI;Slovenia;2050;0.27;0.43;0.13;0.00;0.04;0.02;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2015;0.18;0.54;0.06;0.00;0.02;0.00;0.00;0.04;0.00;0.15;0.01;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2016;0.17;0.56;0.06;0.00;0.02;0.00;0.00;0.05;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2020;0.16;0.60;0.03;0.00;0.02;0.00;0.00;0.06;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2025;0.14;0.60;0.10;0.00;0.01;0.00;0.00;0.04;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2030;0.13;0.77;0.01;0.00;0.02;0.00;0.00;0.02;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2040;0.12;0.78;0.01;0.00;0.02;0.00;0.00;0.03;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SK;Slovakia;2050;0.14;0.59;0.09;0.00;0.03;0.01;0.00;0.07;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
US;United States;2016;0.07;0.20;0.34;0.00;0.01;0.06;0.00;0.01;0.00;0.30;0.01;0.00;0.00;0.00;0.00;0.00;0.01
US;United States;2020;0.07;0.18;0.33;0.00;0.03;0.08;0.00;0.01;0.00;0.28;0.00;0.00;0.00;0.00;0.00;0.00;0.01
US;United States;2025;0.07;0.17;0.33;0.00;0.04;0.09;0.00;0.01;0.00;0.27;0.00;0.00;0.00;0.00;0.00;0.01;0.01
US;United States;2030;0.07;0.15;0.34;0.00;0.06;0.09;0.00;0.01;0.00;0.27;0.00;0.00;0.00;0.00;0.00;0.01;0.01
US;United States;2040;0.06;0.14;0.35;0.00;0.11;0.09;0.00;0.01;0.00;0.24;0.00;0.00;0.00;0.00;0.00;0.01;0.01
US;United States;2050;0.06;0.12;0.36;0.00;0.14;0.08;0.00;0.01;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.01;0.01
ZA;South Africa;2015;0.00;0.05;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2016;0.00;0.04;0.00;0.00;0.01;0.02;0.00;0.00;0.00;0.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2020;0.00;0.05;0.01;0.00;0.02;0.03;0.00;0.01;0.00;0.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2025;0.00;0.05;0.02;0.00;0.03;0.04;0.00;0.01;0.01;0.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2030;0.01;0.08;0.03;0.00;0.04;0.04;0.00;0.03;0.01;0.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2040;0.01;0.11;0.06;0.00;0.06;0.06;0.00;0.04;0.02;0.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ZA;South Africa;2050;0.01;0.13;0.07;0.00;0.07;0.07;0.00;0.05;0.03;0.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
